sigma,errors,ber
0,0,0
1,2426,0.2426
2,3628,0.3628
3,4075,0.4075
4,4327,0.4327
5,4405,0.4405
6,4531,0.4531
7,4576,0.4576
8,4693,0.4693
9,4677,0.4677
10,4743,0.4743
11,4687,0.4687
12,4795,0.4795
13,4812,0.4812
14,4823,0.4823
15,4851,0.4851
16,4860,0.486
17,4822,0.4822
18,4920,0.492
19,4944,0.4944
20,4815,0.4815
21,4887,0.4887
22,4884,0.4884
23,4887,0.4887
24,4890,0.489
25,4932,0.4932
26,4998,0.4998
27,4882,0.4882
28,4932,0.4932
29,4917,0.4917
30,4964,0.4964
31,4868,0.4868
32,4932,0.4932
33,4949,0.4949
34,4866,0.4866
35,4951,0.4951
36,4969,0.4969
37,4817,0.4817
38,4927,0.4927
39,4909,0.4909
40,4964,0.4964
41,4869,0.4869
42,4979,0.4979
43,4914,0.4914
44,4896,0.4896
45,5032,0.5032
46,5054,0.5054
47,4988,0.4988
48,4964,0.4964
49,4917,0.4917
50,4866,0.4866
51,4885,0.4885
52,4932,0.4932
53,4903,0.4903
54,4897,0.4897
55,4863,0.4863
56,4897,0.4897
57,4853,0.4853
58,4998,0.4998
59,5034,0.5034
60,5058,0.5058
61,4959,0.4959
62,4967,0.4967
63,4976,0.4976
64,4937,0.4937
65,5005,0.5005
66,4926,0.4926
67,4917,0.4917
68,4947,0.4947
69,4977,0.4977
70,4884,0.4884
71,4959,0.4959
72,4927,0.4927
73,4993,0.4993
74,5030,0.503
75,5006,0.5006
76,4965,0.4965
77,5013,0.5013
78,5098,0.5098
79,4948,0.4948
80,4967,0.4967
81,4863,0.4863
82,5010,0.501
83,4960,0.496
84,4900,0.49
85,4916,0.4916
86,5065,0.5065
87,4914,0.4914
88,5001,0.5001
89,4924,0.4924
90,4944,0.4944
91,4982,0.4982
92,5005,0.5005
93,4989,0.4989
94,4897,0.4897
95,4973,0.4973
96,4923,0.4923
97,5008,0.5008
98,5046,0.5046
99,5021,0.5021
100,5051,0.5051
