sigma,errors,ber
0,0,0
0.1,0,0
0.2,745,0.00620833
0.3,5161,0.0430083
0.4,11554,0.0962833
0.5,17716,0.147633
0.6,22060,0.183833
0.7,25482,0.21235
0.8,28920,0.241
0.9,30948,0.2579
1,32831,0.273592
1.1,34753,0.289608
1.2,35775,0.298125
1.3,37198,0.309983
1.4,37895,0.315792
1.5,39007,0.325058
1.6,39684,0.3307
1.7,40913,0.340942
1.8,41346,0.34455
1.9,42013,0.350108
2,42281,0.352342
2.1,42776,0.356467
2.2,43166,0.359717
2.3,43883,0.365692
2.4,43954,0.366283
2.5,44528,0.371067
2.6,44791,0.373258
2.7,45201,0.376675
2.8,45540,0.3795
2.9,45819,0.381825
3,46349,0.386242
3.1,46470,0.38725
3.2,46636,0.388633
3.3,46789,0.389908
3.4,46928,0.391067
3.5,47368,0.394733
3.6,47561,0.396342
3.7,47711,0.397592
3.8,47803,0.398358
3.9,48108,0.4009
4,48759,0.406325
4.1,48680,0.405667
4.2,49205,0.410042
4.3,48921,0.407675
4.4,49054,0.408783
4.5,49355,0.411292
4.6,49704,0.4142
4.7,49661,0.413842
4.8,49793,0.414942
4.9,49998,0.41665
5,50275,0.418958
5.1,50611,0.421758
5.2,50699,0.422492
5.3,50719,0.422658
5.4,50712,0.4226
5.5,50968,0.424733
5.6,51015,0.425125
5.7,51140,0.426167
5.8,51448,0.428733
5.9,51337,0.427808
6,51532,0.429433
6.1,51747,0.431225
6.2,51745,0.431208
6.3,51955,0.432958
6.4,51849,0.432075
6.5,51991,0.433258
6.6,52187,0.434892
6.7,52376,0.436467
6.8,52679,0.438992
6.9,52183,0.434858
7,52762,0.439683
7.1,52930,0.441083
7.2,52526,0.437717
7.3,52770,0.43975
7.4,52936,0.441133
7.5,53182,0.443183
7.6,52959,0.441325
7.7,53045,0.442042
7.8,53559,0.446325
7.9,53507,0.445892
8,53600,0.446667
8.1,53657,0.447142
8.2,53698,0.447483
8.3,53599,0.446658
8.4,53618,0.446817
8.5,53657,0.447142
8.6,53869,0.448908
8.7,53932,0.449433
8.8,54004,0.450033
8.9,53911,0.449258
9,54193,0.451608
9.1,54034,0.450283
9.2,54330,0.45275
9.3,54082,0.450683
9.4,54488,0.454067
9.5,54527,0.454392
9.6,54177,0.451475
9.7,54609,0.455075
9.8,54374,0.453117
9.9,54578,0.454817
10,54708,0.4559
