sigma,errors,ber
0,0,0
0.1,0,0
0.2,25,0.000208333
0.3,1079,0.00899167
0.4,4585,0.0382083
0.5,9471,0.078925
0.6,14493,0.120775
0.7,18885,0.157375
0.8,22649,0.188742
0.9,25790,0.214917
1,28790,0.239917
1.1,31488,0.2624
1.2,33361,0.278008
1.3,35107,0.292558
1.4,36624,0.3052
1.5,38324,0.319367
1.6,39659,0.330492
1.7,40726,0.339383
1.8,41466,0.34555
1.9,42524,0.354367
2,43235,0.360292
2.1,44299,0.369158
2.2,44690,0.372417
2.3,45629,0.380242
2.4,46062,0.38385
2.5,46509,0.387575
2.6,47132,0.392767
2.7,47682,0.39735
2.8,48092,0.400767
2.9,48240,0.402
3,48667,0.405558
3.1,49271,0.410592
3.2,49430,0.411917
3.3,49651,0.413758
3.4,50244,0.4187
3.5,50246,0.418717
3.6,50656,0.422133
3.7,50920,0.424333
3.8,51161,0.426342
3.9,51467,0.428892
4,51301,0.427508
4.1,51900,0.4325
4.2,52185,0.434875
4.3,52477,0.437308
4.4,52272,0.4356
4.5,52514,0.437617
4.6,52745,0.439542
4.7,52915,0.440958
4.8,52782,0.43985
4.9,53081,0.442342
5,53259,0.443825
5.1,53301,0.444175
5.2,53492,0.445767
5.3,53706,0.44755
5.4,53537,0.446142
5.5,54204,0.4517
5.6,54007,0.450058
5.7,54031,0.450258
5.8,54250,0.452083
5.9,54451,0.453758
6,54319,0.452658
6.1,54389,0.453242
6.2,54703,0.455858
6.3,54360,0.453
6.4,54935,0.457792
6.5,54765,0.456375
6.6,54992,0.458267
6.7,54758,0.456317
6.8,55115,0.459292
6.9,55069,0.458908
7,55087,0.459058
7.1,55363,0.461358
7.2,55261,0.460508
7.3,55339,0.461158
7.4,55137,0.459475
7.5,55402,0.461683
7.6,55702,0.464183
7.7,55419,0.461825
7.8,55776,0.4648
7.9,55615,0.463458
8,55954,0.466283
8.1,55854,0.46545
8.2,55780,0.464833
8.3,55995,0.466625
8.4,55749,0.464575
8.5,55900,0.465833
8.6,56110,0.467583
8.7,56110,0.467583
8.8,55987,0.466558
8.9,56037,0.466975
9,56403,0.470025
9.1,55954,0.466283
9.2,56788,0.473233
9.3,56223,0.468525
9.4,56376,0.4698
9.5,56334,0.46945
9.6,56337,0.469475
9.7,56378,0.469817
9.8,56431,0.470258
9.9,56433,0.470275
10,56405,0.470042
